Date,Open,High,Low,Close,Volume
01/21/2020 17:47,317.9167,317.9397,317.83,317.83,44296
01/21/2020 17:48,317.83,318.02,317.83,317.99,40998
01/21/2020 17:49,318,318,317.8,317.84,32613
01/21/2020 17:50,317.84,318.13,317.84,318.13,34280
01/21/2020 17:51,318.13,318.17,318.0431,318.0568,20774
01/21/2020 17:52,318.0568,318.1022,318.02,318.0884,13950
01/21/2020 17:53,318.0884,318.14,317.995,318.018,18756
01/21/2020 17:54,318.01,318.03,317.9401,317.98,23025
01/21/2020 17:55,317.98,318.0614,317.95,318.0614,22002
01/21/2020 17:56,318.0639,318.13,318.0501,318.0714,17342
01/21/2020 17:57,318.0714,318.09,318.05,318.06,17701
01/21/2020 17:58,318.06,318.09,318.055,318.08,16984
01/21/2020 17:59,318.0824,318.1,317.92,317.93,50913
01/21/2020 18:00,317.93,318.0625,317.92,318.04,19123
01/21/2020 18:01,318.04,318.066,317.9966,318,23154
01/21/2020 18:02,318,318.1814,318,318.1814,43135
01/21/2020 18:03,318.19,318.2,318.13,318.1364,26466
01/21/2020 18:04,318.1364,318.19,318.11,318.1499,17179
01/21/2020 18:05,318.1499,318.17,318.1,318.16,11687
01/21/2020 18:06,318.16,318.167,318.1,318.11,12662
01/21/2020 18:07,318.11,318.17,318.0797,318.1199,8898
01/21/2020 18:08,318.1199,318.1591,318.08,318.1566,11777
01/21/2020 18:09,318.1464,318.155,318.07,318.0815,14737
01/21/2020 18:10,318.0815,318.0815,317.86,317.8957,36038
01/21/2020 18:11,317.8957,317.93,317.85,317.89,28387
01/21/2020 18:12,317.89,317.95,317.86,317.95,20460
01/21/2020 18:13,317.95,317.98,317.8901,317.94,15237
01/21/2020 18:14,317.94,318,317.85,317.86,30567
01/21/2020 18:15,317.86,317.92,317.83,317.83,30457
01/21/2020 18:16,317.84,317.84,317.66,317.683,101961
01/21/2020 18:17,317.69,317.71,317.6,317.6,46386
01/21/2020 18:18,317.6027,317.6027,317.37,317.39,228944
01/21/2020 18:19,317.39,317.54,317.37,317.4,70751
01/21/2020 18:20,317.4,317.4,317.2,317.31,71582
01/21/2020 18:21,317.29,317.5399,317.2896,317.4222,73693
01/21/2020 18:22,317.4101,317.5,317.4,317.46,46848
01/21/2020 18:23,317.46,317.5,317.39,317.4851,33325
01/21/2020 18:24,317.5,317.82,317.495,317.776,131814
01/21/2020 18:25,317.776,317.776,317.65,317.7097,29321
01/21/2020 18:26,317.7097,317.7097,317.54,317.65,27983
01/21/2020 18:27,317.65,317.76,317.6,317.7,24258
01/21/2020 18:28,317.7,317.7143,317.6,317.65,21646
01/21/2020 18:29,317.6401,317.69,317.57,317.68,20441
01/21/2020 18:30,317.7,317.76,317.48,317.51,75601
01/21/2020 18:31,317.51,317.53,317.2768,317.3132,71886
01/21/2020 18:32,317.3132,317.3132,317.09,317.2599,62130
01/21/2020 18:33,317.2554,317.4303,317.2404,317.4303,48603
01/21/2020 18:34,317.4303,317.45,317.2,317.21,35543
01/21/2020 18:35,317.2243,317.39,317.1739,317.2261,46046
01/21/2020 18:36,317.2261,317.2261,316.96,317.01,132025
01/21/2020 18:37,317.01,317.0474,316.89,316.9175,78303
01/21/2020 18:38,316.925,317.29,316.9214,317.29,89436
01/21/2020 18:39,317.2861,317.295,317.01,317.03,68716
01/21/2020 18:40,317.0318,317.0715,316.66,316.92,105328
01/21/2020 18:41,316.92,317.05,316.89,316.99,40975
01/21/2020 18:42,316.99,317.0299,316.88,316.98,50885
01/21/2020 18:43,316.98,317.118,316.95,316.995,46776
01/21/2020 18:44,316.995,317.0699,316.95,317.05,26959
01/21/2020 18:45,317.05,317.1,316.85,316.973,50458
01/21/2020 18:46,316.96,317.04,316.9,316.975,39109
01/21/2020 18:47,316.975,317.06,316.94,316.99,44552
01/21/2020 18:48,316.99,317.16,316.954,317.11,36318
01/21/2020 18:49,317.11,317.19,317.06,317.0622,35434
01/21/2020 18:50,317.0622,317.17,317.01,317.0795,45834
01/21/2020 18:51,317.0795,317.13,316.96,317.02,40029
01/21/2020 18:52,317.02,317.02,316.75,316.7964,68975
01/21/2020 18:53,316.79,317.02,316.69,316.92,83131
01/21/2020 18:54,316.92,316.97,316.86,316.9449,24725
01/21/2020 18:55,316.9449,317.1,316.9301,317.01,48272
01/21/2020 18:56,317.025,317.065,316.92,316.92,35455
01/21/2020 18:57,316.92,316.95,316.79,316.8253,34832
01/21/2020 18:58,316.8253,316.86,316.52,316.64,78505
01/21/2020 18:59,316.62,316.63,316.34,316.5203,134305
01/21/2020 19:00,316.5203,316.57,316.34,316.5699,63385
01/21/2020 19:01,316.5699,316.65,316.45,316.5883,46601
01/21/2020 19:02,316.58,316.89,316.58,316.79,87837
01/21/2020 19:03,316.77,316.86,316.6701,316.8458,34853
01/21/2020 19:04,316.8458,316.9588,316.8193,316.86,39181
01/21/2020 19:05,316.86,316.94,316.67,316.68,32298
01/21/2020 19:06,316.68,316.8345,316.585,316.8123,48126
